"message","status_code","function_name","timestamp","user","exception"
"Invalid tweet data for tweet 1983617932791050265",500,"read_from_cache","2025-10-30T23:22:16.053694Z","nakul","1 validation error for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19836179327910502... shipped it for free.']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing"
"Invalid tweet data for tweet 1983584136972677319",500,"read_from_cache","2025-10-30T23:22:16.053750Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ... into its activations.'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983609014408851718",500,"read_from_cache","2025-10-30T23:22:16.053799Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'NVIDIA $5T toda...us/1983601740462354937'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983191002451255347",500,"read_from_cache","2025-10-30T23:22:16.053853Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Hz.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983224129013559395",500,"read_from_cache","2025-10-30T23:22:16.053971Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Md.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983196968227684737",500,"read_from_cache","2025-10-30T23:22:16.054026Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...IQ.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983179448297107509",500,"read_from_cache","2025-10-30T23:22:16.054067Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Ds.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983203377141166444",500,"read_from_cache","2025-10-30T23:22:16.054115Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19832033771411664...tps://t.co/PUwNijcYxK""]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...R4.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983593612744257893",500,"read_from_cache","2025-10-30T23:22:16.054161Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19835936127442578...tps://t.co/89mibzS0g0']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...hR.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983549445171290235",500,"read_from_cache","2025-10-30T23:22:16.054193Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Ne.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983362789025722612",500,"read_from_cache","2025-10-30T23:22:16.054266Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...wd.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983466776240554119",500,"read_from_cache","2025-10-30T23:22:16.054328Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...6x.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983356266190922079",500,"read_from_cache","2025-10-30T23:22:16.054367Z","nakul","2 validation errors for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...UR.png', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.1
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...MM.png', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983537126601056666",500,"read_from_cache","2025-10-30T23:22:16.054398Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Cy.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1982964155692003397",500,"read_from_cache","2025-10-30T23:22:16.054428Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...os.png', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983208915568341266",500,"read_from_cache","2025-10-30T23:22:20.646090Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...do.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983035794660225111",500,"read_from_cache","2025-10-30T23:22:20.646208Z","nakul","2 validation errors for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Excited to welc...us/1983019304317841497'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Jr.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983241144298324221",500,"read_from_cache","2025-10-30T23:22:20.646294Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Today, we are r...us/1911778937027305502'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983050676625408127",500,"read_from_cache","2025-10-30T23:22:20.646348Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...vt.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
